mql_id,seller_id,won_date,business_segment,lead_type,lead_behaviour_profile,business_type
5420aad7fec3549a85876ba1c529bd84,2c43fb513632d29b3b58df74816f1b06,2/26/2018 19:58,pet,online_medium,cat,reseller
327174d3648a2d047e8940d7d15204ca,612170e34b97004b3ba37eae81836b4c,6/5/2018 17:27,home_appliances,online_big,cat,reseller
ffe640179b554e295c167a2f6be528e0,ed8cb7b190ceb6067227478e48cf8dde,7/3/2018 20:17,home_appliances,industry,wolf,manufacturer
b94fba7670eeb44dce2a0d8eb790e9f5,1c742ac33582852aaf3bcfbf5893abcf,2/7/2018 18:04,health_beauty,online_medium,,manufacturer
b02c89251106e1fdd9d92744be9f94f2,44ed138eca6214d572ce1d813fb0049b,4/17/2018 17:01,health_beauty,offline,cat,manufacturer
0173e8d8b1d94a355b440fb67388f532,87d73636a3acf123e842bb890a4db036,4/24/2018 3:00,household_utilities,online_medium,eagle,manufacturer
408a9c4a79800232ac656249af3162eb,b566ab0ef88016e00422755e305103c6,2/23/2018 13:54,construction_tools_house_garden,online_big,cat,reseller
c556184b3fe2087834850b68fa435cee,2d2322d842118867781fc737e96d59a1,5/22/2018 13:24,household_utilities,online_medium,cat,reseller
ab11f58a6bf7036a656364b0ba68fb74,9e7c5f4d7770eab65738cca38f9efccf,4/10/2018 3:00,sports_leisure,online_medium,cat,reseller
450b97a48568c3118ff397f73abe4e4a,df91910b6a03bb2e3358fa6a35e32f6f,4/10/2018 19:21,food_drink,online_medium,cat,manufacturer
ed3d878bf23177e7075ce07578841047,249f0e9905a6e06ad6c6bea7547ab9f6,5/11/2018 19:03,home_decor,online_medium,cat,manufacturer
119ce5d79e3c006a9e46967bff271cb2,b494891378bd8f4560abe576c52deacd,6/19/2018 14:08,health_beauty,online_top,cat,reseller
0b97be8b4b408a3a0780a32e0a143a7f,7d13fca15225358621be4086e1eb0964,2/8/2018 17:20,watches,online_big,,reseller
4151b0029636a1c55afcce9283ac7902,e819bcfade7b5d88a27325eb6cfd62c5,2/12/2018 13:18,home_decor,industry,,manufacturer
fc4166d1b1e192f650ee2d807b54c943,70c27847eca8195c983ed7e798c56743,2/8/2018 20:57,pet,online_small,,reseller
85e43237b3fb87d881c757f44f1b0357,556a6409838156ea299c9d1f9e2dde43,4/6/2018 20:52,household_utilities,industry,shark,reseller
9ce2e101957dc53e3e89cc8e1599aa60,a4fc6eadaff1576af888509a53420f6a,4/13/2018 12:27,computers,online_beginner,cat,reseller
4bb1ec1ff58ad39558e8468054bfc469,4fae87d32467e18eb46e4a76a0a0b9ce,7/19/2018 18:06,small_appliances,online_medium,cat,reseller
